unit_id,unit_type,agency,dispatch_group,beat,station_id,pair_unit_id,default_attributes,default_m_skill,typical_als_equipment,attribute_source
0-COND2-0,COND,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
0-COND3-0,COND,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
2ALARM,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
3ALARM,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
4ALARM,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
5ALARM,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
6ALARM,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
A101,A,FIRE,F1,101,101,,,0,,Unknown / not modeled
A101B,A,FIRE,F1,101,101,,,0,,Unknown / not modeled
A102,A,FIRE,F1,102,102,,,0,,Unknown / not modeled
A103,A,FIRE,F1,103,103,,,0,,Unknown / not modeled
A104,A,FIRE,F1,104,104,,,0,,Unknown / not modeled
A105,A,FIRE,F1,105,105,,,0,,Unknown / not modeled
A106,A,FIRE,F1,106,106,,,0,,Unknown / not modeled
A106B,A,FIRE,F1,106,106,,,0,,Unknown / not modeled
A106E,A,FIRE,F1,106,106,,,0,,Unknown / not modeled
A107,A,FIRE,F1,104,104,,,0,,Unknown / not modeled
A108,A,FIRE,F1,108,108,,,0,,Unknown / not modeled
A109,A,FIRE,F1,109,109,,,0,,Unknown / not modeled
A110,A,FIRE,F1,110,110,,,0,,Unknown / not modeled
A201,A,FIRE,F1,201,201,,,0,,Unknown / not modeled
A202,A,FIRE,F1,202,202,,,0,,Unknown / not modeled
A203,A,FIRE,F1,203,203,,,0,,Unknown / not modeled
A204,A,FIRE,F1,204,204,,,0,,Unknown / not modeled
A205,A,FIRE,F1,209,209,,,0,,Unknown / not modeled
A206,A,FIRE,F1,206,206,,,0,,Unknown / not modeled
A207,A,FIRE,F1,207,207,,,0,,Unknown / not modeled
A208,A,FIRE,F1,208,208,,,0,,Unknown / not modeled
A209,A,FIRE,F1,209,209,,,0,,Unknown / not modeled
A210,A,FIRE,F1,210,210,,,0,,Unknown / not modeled
A301,A,FIRE,F1,301,301,,,0,,Unknown / not modeled
A301B,A,FIRE,F1,301,301,,,0,,Unknown / not modeled
A302,A,FIRE,F1,302,302,,,0,,Unknown / not modeled
A302B,A,FIRE,F1,302,302,,,0,,Unknown / not modeled
A303,A,FIRE,F1,303,303,,,0,,Unknown / not modeled
A304,A,FIRE,F1,304,304,,,0,,Unknown / not modeled
A401,A,FIRE,F1,401,401,,COUNTY; TRANSPORT; AMBULANCE,0,,User-provided Fairfax/City ambulance family rule
A401B,A,FIRE,F1,401,401,,COUNTY; TRANSPORT; AMBULANCE,0,,User-provided Fairfax/City ambulance family rule
A401C,A,FIRE,F1,401,401,,COUNTY; TRANSPORT; AMBULANCE,0,,User-provided Fairfax/City ambulance family rule
A401E,A,FIRE,F1,401,401,,COUNTY; TRANSPORT; AMBULANCE,0,,User-provided Fairfax/City ambulance family rule
A401F,A,FIRE,F1,401,401,,COUNTY; TRANSPORT; AMBULANCE,0,,User-provided Fairfax/City ambulance family rule
A402,A,FIRE,F1,402,402,,COUNTY; TRANSPORT; AMBULANCE,0,,User-provided Fairfax/City ambulance family rule
A402B,A,FIRE,F1,402,402,,COUNTY; TRANSPORT; AMBULANCE,0,,User-provided Fairfax/City ambulance family rule
